,A1,A2,A3,BV,DT,G,GM,H,H_sigma,IR,K1,K2,M1,M2,PC,UB,a,ad,albedo,class,closeness,condition_code,data_arc,diameter,diameter_sigma,dv,e,epoch,epoch_cal,epoch_mjd,equinox,est_diameter,extent,first_obs,full_name,i,id,last_obs,ma,moid,moid_ld,n,n_del_obs_used,n_dop_obs_used,n_obs_used,name,neo,om,orbit_id,pdes,per,per_y,pha,prefix,price,producer,profit,prov_des,q,rms,rot_per,saved,score,sigma_a,sigma_ad,sigma_e,sigma_i,sigma_ma,sigma_n,sigma_om,sigma_per,sigma_q,sigma_tp,sigma_w,spec,spec_B,spec_T,spkid,t_jup,tp,tp_cal,two_body,w
846,,,,0.856,,,,10.29,,,,,,,,0.496,2.78478204294278,3.046832086791487,0.172,MBA,2644.40771924157,0.0,39473.0,28.04,1.7,9.967458,0.09410073743932522,2457000.5,20141209.0,57000.0,J2000,,,1906-10-08,847 Agnia (1915 XX),2.482789151658235,a0000847,2014-11-03,80.27309756639553,1.53166,596.0761222,0.2120885676809245,,,1546.0,Agnia,N,271.0674617173361,JPL 10,847.0,1697.404079514554,4.64723909518016,N,,3.910316892350579e-39,Otto Matic,3.0355766009378467e-40,1915 XX,2.522731999094074,0.54868,14.827,-2.8662622820929736e+16,7.820633784701158e-51,1.3253e-08,1.4501e-08,4.6446e-08,5.2404e-06,2.6978e-05,1.5141e-09,0.00012558,1.2117e-05,1.2894e-07,0.00012763,0.00012818,S,S,S,2000847.0,3.324,2456622.011435321,20131125.5114353,,130.6437042212277
847,,,,,,,,11.2,,,,,,,,,3.105630441271006,3.627509658537237,,MBA,2638.32650945051,0.0,39756.0,,,10.088772,0.1680429230506409,2457000.5,20141209.0,57000.0,J2000,19.74600994527812,,1905-12-27,848 Inna (1915 XS),1.045895546842288,a0000848,2014-11-01,57.71180472272256,1.57421,612.6353057,0.1800857759118253,,,1728.0,Inna,N,208.0028056964533,JPL 8,848.0,1999.047388263832,5.4730934654725,N,,0.0,Otto Matic,0.0,1915 XS,2.583751224004774,0.54282,,-7387213653005092.0,0.0,1.8323e-08,2.1402e-08,3.9927e-08,5.4286e-06,1.6345e-05,1.5938e-09,0.00024666,1.7691e-05,1.2364e-07,8.9512e-05,0.00024719,?,,,2000848.0,3.198,2456680.0315763806,20140122.5315764,,124.7447387288501
848,,,,0.701,,,,8.1,,,,,,,,0.252,3.147636937928205,3.77506992899637,0.266,MBA,2634.4822254231603,0.0,34772.0,61.82,3.3,11.583033,0.199334613057739,2457000.5,20141209.0,57000.0,J2000,,,1919-07-03,849 Ara (1912 NY),19.52685809985357,a0000849,2014-09-14,330.1202163500989,1.57205,611.7946985,0.1764928532541348,,,1449.0,Ara,N,228.3808846761675,JPL 69,849.0,2039.742648851794,5.5845110167058,N,,8.244252182404168e+16,Otto Matic,5486678180965878.0,1912 NY,2.52020394686004,0.57957,4.116,1.17965882535279e+18,131.74411127115803,1.5237e-08,1.8274e-08,3.7631e-08,5.4072e-06,1.3198e-05,1.2815e-09,1.3424e-05,1.4811e-05,1.2011e-07,7.5349e-05,1.7966e-05,M,,M,2000849.0,3.09,2457169.7974140253,20150527.297414,,63.37880658251082
849,,,,,,,,9.6,,,,,,,,,3.000333891498817,3.37388802271437,0.039,MBA,2636.5141550383028,0.0,35366.0,80.9,1.8,11.214819,0.1245041867753404,2457000.5,20141209.0,57000.0,J2000,,,1917-07-28,850 Altona (1916 S24),15.54318104380119,a0000850,2014-05-26,300.0627578383593,1.63678,636.9856726,0.1896486223484857,,,1358.0,Altona,N,121.1559090469673,JPL 13,850.0,1898.247377397174,5.1971180763783,N,,0.0,Otto Matic,0.0,1916 S24,2.626779760283265,0.54321,11.197,-5.0802860985823245e+17,0.0,1.9649e-08,2.2095e-08,4.2782e-08,4.8727e-06,1.8159e-05,1.863e-09,1.8142e-05,1.8647e-05,1.32e-07,9.6549e-05,2.4631e-05,?,,,2000850.0,3.186,2457316.543646505,20151021.0436465,,134.3657257628737
850,,,,0.859,,,,11.62,,,,,,,,0.482,2.228075865829546,2.428467820475186,0.2646,MBA,2675.137631813863,0.0,32354.0,12.26,1.0,8.809434,0.08993946647818957,2457000.5,20141209.0,57000.0,J2000,,,1926-04-06,851 Zeissia (1916 S26),2.391706513332094,a0000851,2014-11-04,283.3968688618003,1.03951,404.5461067,0.2963528527660048,,,1507.0,Zeissia,N,141.205641023176,JPL 9,851.0,1214.768127385802,3.32585387374621,N,,0.0,Otto Matic,0.0,1916 S26,2.027683911183907,0.51305,9.34,-1768129280403084.0,0.0,7.3976e-09,8.063e-09,4.1763e-08,4.8443e-06,2.6594e-05,1.4759e-09,0.00010613,6.0499e-06,9.3184e-08,8.9991e-05,0.0001097,?,,S,2000851.0,3.638,2457258.986228235,20150824.4862282,,7.600372879838114
851,,,,,,,,10.0,,,,,,,,,2.362223132860505,3.011935882272649,0.366,MBA,2653.851056328071,0.0,33404.0,23.01,1.4,10.629327,0.2750429205328214,2457000.5,20141209.0,57000.0,J2000,,,1923-03-24,852 Wladilena (1916 S27),23.01757110387187,a0000852,2014-09-06,344.6506263736636,0.84914,330.4598138,0.2714705336408381,,,1115.0,Wladilena,N,27.30800419720563,JPL 14,852.0,1326.110775898384,3.63069343161775,N,,0.0,Otto Matic,0.0,1916 S27,1.712510383448361,0.50961,4.6134,-1.1689406502961542e+16,0.0,1.0032e-08,1.2791e-08,4.5392e-08,6.2142e-06,1.5187e-05,1.7293e-09,1.3159e-05,8.4476e-06,1.0868e-07,5.6069e-05,1.7803e-05,?,,,2000852.0,3.395,2457057.041582692,20150203.5415827,,282.3718248254496
852,,,,0.71,,,,11.67,,,,,,,,0.29,2.312276647497663,2.55547350692522,0.0511,MBA,2661.46336859192,0.0,34297.0,27.0,0.8,9.373442,0.1051763679275766,2457000.5,20141209.0,57000.0,J2000,,,1920-07-11,853 Nansenia (1916 S28),9.216571017128171,a0000853,2014-06-05,348.714659693389,1.07656,418.9648552,0.2803137389356696,,,1479.0,Nansenia,N,182.8693852163316,JPL 11,853.0,1284.27526016703,3.51615403194259,N,,1.5326872679294208e+16,Otto Matic,1273386340441574.2,1916 S28,2.069079788070106,0.52732,7.931,-1.278905871187579e+16,133.093168429596,9.1907e-09,1.0157e-08,3.9449e-08,4.8637e-06,2.1629e-05,1.6713e-09,2.5987e-05,7.657e-06,9.424e-08,7.723e-05,3.347e-05,Ch,Ch,XD,2000853.0,3.559,2457040.7596759954,20150118.259676,,59.91928600453821
853,,,,,,,,11.9,,,,,,,,,2.368425781391324,2.779690200353055,,MBA,2669.6126610128126,0.0,26264.0,,,8.900234,0.173644630198264,2457000.5,20141209.0,57000.0,J2000,14.30471967235784,,1942-07-11,854 Frostia (1916 S29),6.087734483369614,a0000854,2014-06-07,326.2984898178608,0.953935,371.24288395,0.2704048046285519,,,1488.0,Frostia,N,190.6048681234271,JPL 47,854.0,1331.33729075015,3.64500284941862,N,,0.0,Otto Matic,0.0,1916 S29,1.957161362429593,0.49734,37.56,-2808540299227002.5,0.0,9.3697e-09,1.0997e-08,3.7262e-08,4.7675e-06,1.3637e-05,1.6046e-09,3.9687e-05,7.9004e-06,8.9866e-08,5.0684e-05,4.1559e-05,?,,,2000854.0,3.518,2457125.1335479445,20150412.6335479,,84.38772185025782
854,,,,,,,,11.7,,,,,,,,,2.362168211666215,2.784304647439187,,MBA,2662.351558591286,0.0,35930.0,,,9.27168,0.1787071867651658,2457000.5,20141209.0,57000.0,J2000,15.684813222680875,,1916-04-28,855 Newcombia (1916 ZP),10.88441669686209,a0000855,2014-09-11,28.4814082745167,0.950872,370.05085624,0.2714800013657722,,,1212.0,Newcombia,N,17.13653153449467,JPL 14,855.0,1326.064528469493,3.63056681305816,N,,0.0,Otto Matic,0.0,1916 ZP,1.940031775893243,0.50479,3.003,-3702377174963237.5,0.0,9.5553e-09,1.1263e-08,4.9617e-08,6.5261e-06,1.751e-05,1.6473e-09,2.5392e-05,8.0462e-06,1.1764e-07,6.4398e-05,3.0142e-05,?,,,2000855.0,3.505,2456895.5883743507,20140826.0883744,,234.0863171998119
855,,,,0.68,,,,10.69,,,,,,,,,2.435465383433861,2.724343678620825,,MBA,2651.4892787874223,0.0,30341.0,,,10.175225,0.1186131805247269,2457000.5,20141209.0,57000.0,J2000,24.973496495320074,,1931-02-28,856 Backlunda (1916 S30),14.32085465050975,a0000856,2014-03-25,339.2383923723536,1.19726,465.9376742,0.2593170857354964,,,1251.0,Backlunda,N,125.57959869,JPL 46,856.0,1388.261783749954,3.80085361738523,N,,1.2128310627752156e+16,Otto Matic,924765046064813.6,1916 S30,2.146587088246898,0.52535,12.08,-1.0120112559148114e+16,132.59446393937114,1.0309e-08,1.1532e-08,3.9038e-08,4.9057e-06,1.8584e-05,1.6465e-09,1.776e-05,8.8144e-06,9.5528e-08,7.1742e-05,2.5697e-05,C,C,,2000856.0,3.453,2457080.562628996,20150227.062629,,72.86687910029723
